10,10,10,10,DeltamapZ,DeltamapZ,DeltamapZ,DeltamapZ,cMapZ,cMapZ,cMapZ,cMapZ
Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4
0.43612849,0.43310748,0.39111596,0.36901627,0.42443146,0.61636291,0.44723259,0.39710445,0.41029216,0.48648947,0.42311358,0.45929246
0.43667713,0.43821161,0.43326203,0.43647908,0.45657144,0.53309253,0.46965686,0.49286616,0.44010193,0.43003474,0.47949987,0.48085671
0.44883536,0.48902192,0.38903981,0.41659591,0.47507502,0.531421,0.56781729,0.77487148,0.47105305,0.42846081,0.48128256,0.4795618
0.43631362,0.58387745,0.41429084,0.55802037,0.46412551,0.50106144,0.47758349,0.46485564,0.48169072,0.4442056,0.47969997,0.47421692
0.6035828,0.62318745,0.47086328,0.40839899,0.4541715,0.57652648,0.51563705,0.48776725,0.43566838,0.4337672,0.5294204,0.60281424
0.46483221,0.52465297,0.41069831,0.48263462,0.48990811,0.49303639,0.46784739,0.54132855,0.48466366,0.47569666,0.5005107,0.50571603
0.48517962,0.47873612,0.36827804,0.53049543,0.63081653,0.47640404,0.51751927,0.4259473,0.46486135,0.51838053,0.48529414,0.5354282
0.48075166,0.52449171,0.42556719,0.44634148,0.57055462,0.53677534,0.54814173,0.5750207,0.47028022,0.45333338,0.46533709,0.441822
0.50877881,0.45569152,0.4339889,0.46660223,0.54026036,0.70623906,0.54727726,0.49502737,0.45440242,0.5237163,0.45235138,0.55521881
0.55100899,0.48897483,0.41855229,0.44883536,0.56360894,0.65221944,0.51029083,0.59991448,0.49941652,0.49930092,0.45725064,0.50203252
0.49255751,0.4998119,0.55811181,0.45594983,0.4829231,0.50845225,0.51534073,0.46941431,0.52045039,0.52814996,0.56560074,0.58242198
0.53308414,0.4958747,0.50848601,0.46027977,0.5232246,0.60409704,0.58917229,0.59801342,0.53224194,0.56299503,0.56791556,0.52864408
